procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0 841404 124532 127480 850964 1528    0  1528     0 35392 209360 40 39 21 0 0 0
 4  0 841356 119376 127552 851036   48    0    48     0 36928 209905 39 39 22 0 0 0
 3  0 840896 117908 127756 851300  460    0   460     0 29618 211386 38 35 27 0 0 0
14  0 840676 117192 127808 851464  220    0   220  8208 28053 234989 34 38 28 1 0 0
 6  0 839912 114712 127872 851448  764    0   764    28 24794 227823 37 36 27 0 0 0
 9  0 839776 114736 127952 851436  136    0   136     0 30628 209691 39 37 24 0 0 0
 8  0 839108 114736 128152 851696  668    0   668     0 38852 217460 38 39 23 0 0 0
 3  0 837468 112840 128320 851996 1640    0  1900    76 34080 196284 43 37 20 0 0 0
 1  0 833348 108400 128476 852368 4120    0  4192     0 38738 186997 43 38 19 0 0 0
 4  0 853388 116940 128336 876252 3400 20512 30600 20540 55588 188090 35 49 14 2 0 0
 2  1 929180 266984 104048 788776 23376 81332 26176 81332 67772 137164 32 63 4 1 0 0
 5  0 926272 255248 104292 789176 2920    0  3344     0 36958 193728 41 38 20 1 0 0
12  1 948800 355916 104096 719132 2040 24908 2420 24908 58307 152636 38 52 10 1 0 0
 7  1 1032512 417520 104252 725256 8952 92060 14860 92060 101913 141753 30 63 6 0 0 0
18  1 1073632 443632 105544 728284 13596 54720 24444 54748 97912 139893 38 59 2 0 0 0
 5  0 1066240 420740 107680 741244 7228   0 21320     0 53842 151440 45 47 7 1 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
14  0 1061852 399276 108688 742864 4412   0 13444   112 49771 167398 48 43 8 1 0  0
12  0 1055372 393908 109244 748928 6468   0  8400     0 58547 143329 60 39 1 0 0  0
 7  0 1049108 391564 109560 743068 6264   0  8268     0 37519 199478 41 38 21 1 0 0
 5  0 1042264 388208 109712 737632 6840   0  7408     0 46442 182431 44 40 16 0 0 0
 5  0 1038880 384476 109896 737836 3376   0  3644     0 36985 207294 39 39 22 1 0 0
10  0 1032620 383800 110228 738260 6260   0  6460     0 38399 197949 41 38 21 0 0 0
14  0 994476 354392 110540 738684 38136   0 38524    84 63073 159467 55 42 3 1 0  0
 8  0 970168 329992 110712 745356 24304   0 24612     0 66780 166442 57 39 3 0 0  0
 1  0 968176 327296 110944 745856 1988    0  2392     0 53475 179715 50 39 11 0 0 0
 5  0 967320 325584 111252 740648  852    0  1524     0 42432 202154 44 38 18 0 0 0
 3  0 966076 320916 111448 741312 1240    0  1724     0 39324 191645 44 37 19 0 0 0
 2  0 964736 316804 111608 741932 1336    0  1788    28 31604 215243 37 38 25 1 0 0
 7  1 963688 311836 111716 742256 1044    0  1256     0 34775 206545 40 38 21 0 0 0
 4  0 962844 309072 111884 742460  840    0   860     0 35829 202746 40 37 22 0 0 0
 4  0 960700 304224 112000 742712 2144    0  2144     0 36367 198835 42 38 20 0 0 0
11  0 958820 303908 112116 742948 1872    0  1872     0 32061 212246 41 36 23 0 0 0
 8  0 957952 297624 112324 743248  868    0  1168    28 34995 202822 40 38 22 0 0 0
 3  0 955584 297568 112424 743668 2364    0  2504  4820 27177 220875 37 36 26 1 0 0
 4  0 953580 296560 112656 744156 2000    0  2392  2432 34387 209599 41 36 22 1 0 0
 8  1 952852 295140 112788 742432  720    0   852     0 31237 214648 36 37 26 1 0 0
 2  0 949808 292748 112932 742740 3040    0  3096     0 32562 203423 40 39 21 0 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
13  0 947832 288708 113072 743024 1972    0  2132    32 38495 204117 43 37 19 1 0 0
 7  0 945684 285136 113248 743696 2136    0  2724     0 37810 199689 44 35 21 1 0 0
 4  0 944344 282896 113488 744012 1340    0  1440     0 25199 232271 34 35 30 1 0 0
 4  0 940896 282140 113824 744088 3444    0  3800    80 27662 215875 37 37 26 0 0 0
 4  0 937644 280156 113824 742368 3244    0  3480     0 19946 251493 33 36 30 1 0 0
